wl,n
0.688230835,2.202938
0.689816772,2.20723
0.691402527,2.211515
0.69298822,2.215794
0.694573853,2.220065
0.696159424,2.224327
0.697744873,2.228582
0.6993302,2.232827
0.700915466,2.237064
0.70250061,2.241291
0.704085693,2.245508
0.705670715,2.249714
0.707255554,2.25391
0.708840393,2.258095
0.71042511,2.262268
0.712009705,2.266429
0.713594177,2.270579
0.715178589,2.274715
0.716762939,2.278839
0.718347168,2.28295
0.719931335,2.287047
0.721515381,2.29113
0.723099304,2.295199
0.724683167,2.299253
0.726266907,2.303293
0.727850525,2.307317
0.729434143,2.311326
0.731017578,2.315318
0.732600952,2.319294
0.734184204,2.323254
0.735767334,2.327196
0.737350403,2.331121
0.73893335,2.335027
0.740516235,2.338916
0.742098999,2.342787
0.743681641,2.346639
0.745264221,2.350473
0.746846619,2.354289
0.748429016,2.358088
0.75001123,2.361868
0.751593384,2.365631
0.753175415,2.369375
0.754757385,2.373103
0.756339233,2.376812
0.757920959,2.380505
0.759502563,2.38418
0.761084106,2.387838
0.762665527,2.391479
0.764246826,2.395103
0.765828003,2.398711
0.767409119,2.402302
0.768990112,2.405876
0.770570984,2.409434
0.772151733,2.412976
0.773732483,2.416502
0.775312988,2.420011
0.776893433,2.423506
0.778473755,2.426984
0.780054077,2.430447
0.781634155,2.433895
0.783214172,2.437327
0.784794067,2.440745
0.786373901,2.444147
0.787953552,2.447535
0.789533081,2.450908
0.79111261,2.454267
0.792691956,2.457611
0.794271118,2.460941
0.795850281,2.464257
0.797429321,2.467558
0.799008179,2.470846
0.800586975,2.474121
0.802165649,2.477382
0.803744202,2.480629
0.805322632,2.483864
0.80690094,2.487085
0.808479126,2.490293
0.810057251,2.493488
0.811635193,2.49667
0.813213013,2.49984
0.814790771,2.502997
0.816368408,2.506142
0.817945923,2.509274
0.819523254,2.512394
0.821100586,2.515503
0.822677734,2.518599
0.8242547,2.521683
0.825831665,2.524756
0.827408386,2.527817
0.828985046,2.530867
0.830561646,2.533906
0.832138062,2.536933
0.833714355,2.539949
0.835290527,2.542954
0.836866577,2.545948
0.838442505,2.548932
0.840018372,2.551904
0.841594055,2.554866
0.843169617,2.557818
0.844744995,2.560759
0.846320313,2.56369
0.847895508,2.56661
0.849470581,2.569521
0.851045593,2.572422
0.852620422,2.575312
0.854195007,2.578193
0.855769653,2.581064
0.857344055,2.583925
0.858918335,2.586777
0.860492554,2.58962
0.862066589,2.592453
0.863640503,2.595276
0.865214355,2.598091
0.866787964,2.600896
0.868361511,2.603693
0.869934937,2.60648
0.871508179,2.609259
0.87308136,2.612029
0.874654419,2.61479
0.876227356,2.617543
0.87780011,2.620287
0.879372681,2.623022
0.88094519,2.625749
0.882517456,2.628468
0.884089722,2.631179
0.885661804,2.633881
0.887233765,2.636575
0.888805664,2.639262
0.890377319,2.64194
0.891948914,2.644611
0.893520325,2.647274
0.895091614,2.649928
0.896662781,2.652576
0.898233765,2.655215
0.899804688,2.657847
0.901375366,2.660472
0.902945984,2.663089
0.904516479,2.665699
0.906086792,2.668301
0.907656921,2.670897
